Weighted Transport Z-score,Weighted Culture Z-score,Weighted Economy Z-score,Weighted Inequality Z-score,Weighted Insecurity_and_Pollution Z-score,Weighted Environment Z-score,Weighted Housing_and_urbanregeneration Z-score,Weighted Health Z-score,Sum of Weighted Z-scores,Sigmoid of Weighted Sum,Scaled Weighted Sigmoid,Freguesia
0.1697162429,0.7634220384,0.2091242315,-0.3343018529,-0.3543867496,0.3042998935,0.141472893,1.079134135,1.978480832,0.8785191247,87.85191247,"Union of the parishes of Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau and Vitoria"
0.1691045581,0.4647068301,0.2333728206,-0.3343018529,-0.3543867496,0.3042998935,0.141472893,1.079134135,1.703402528,0.8459786024,84.59786024,Ramalde
0.1692132188,0.5358428331,0.2333784451,-0.3343018529,-0.3543867496,0.3042998935,0.141472893,1.079134135,1.774652816,0.8550353404,85.50353404,Union of the parishes of Lordelo do Ouro and Massarelos
0.1689280614,0.448975819,0.209097886,-0.3343018529,-0.3543867496,0.3042998935,0.141472893,1.079134135,1.663220086,0.8406697878,84.06697878,Bonfim
0.1690638196,0.422812558,0.2091031552,-0.3343018529,-0.3543867496,0.3042998935,0.141472893,1.079134135,1.637197852,0.837153288,83.7153288,"Union of the parishes of Aldoar, Foz do Douro and Nevogilde"
0.1690502413,0.5038352511,0.2333728206,-0.3343018529,-0.3543867496,0.3042998935,0.141472893,1.079134135,1.742476632,0.8510013706,85.10013706,Paranhos
0.168873774,0.5295525664,0.209097886,-0.3343018529,-0.3543867496,0.3042998935,0.141472893,1.079134135,1.743742546,0.8511618147,85.11618147,Campanha
